date,value,type
1999-12-01,3.6,"""Private wages and salaries, 12-month change, SIC"""
2000-03-01,4.2,"""Private wages and salaries, 12-month change, SIC"""
2000-06-01,4.0,"""Private wages and salaries, 12-month change, SIC"""
2000-09-01,4.2,"""Private wages and salaries, 12-month change, SIC"""
2000-12-01,3.8,"""Private wages and salaries, 12-month change, SIC"""
2001-03-01,3.9,"""Private wages and salaries, 12-month change, SIC"""
2001-06-01,3.9,"""Private wages and salaries, 12-month change, SIC"""
2001-09-01,3.6,"""Private wages and salaries, 12-month change, SIC"""
2001-12-01,3.8,"""Private wages and salaries, 12-month change, SIC"""
2002-03-01,3.5,"""Private wages and salaries, 12-month change, SIC"""
2002-06-01,3.5,"""Private wages and salaries, 12-month change, SIC"""
2002-09-01,3.1,"""Private wages and salaries, 12-month change, SIC"""
2002-12-01,2.7,"""Private wages and salaries, 12-month change, SIC"""
2003-03-01,3.0,"""Private wages and salaries, 12-month change, SIC"""
2003-06-01,2.6,"""Private wages and salaries, 12-month change, SIC"""
2003-09-01,3.0,"""Private wages and salaries, 12-month change, SIC"""
2003-12-01,3.0,"""Private wages and salaries, 12-month change, SIC"""
2004-03-01,2.6,"""Private wages and salaries, 12-month change, SIC"""
2004-06-01,2.6,"""Private wages and salaries, 12-month change, SIC"""
2004-09-01,2.6,"""Private wages and salaries, 12-month change, SIC"""
2004-12-01,2.4,"""Private wages and salaries, 12-month change, SIC"""
2005-03-01,2.4,"""Private wages and salaries, 12-month change, SIC"""
2005-06-01,2.4,"""Private wages and salaries, 12-month change, SIC"""
2005-09-01,2.2,"""Private wages and salaries, 12-month change, SIC"""
2005-12-01,2.6,"""Private wages and salaries, 12-month change, SIC"""
